100 -63.63521118164063 	 0.013022867999552545
105 -57.84224243164063 	 0.007412354312691605
110 -58.916168212890625 	 0.003873110376389377
112 -59.32991333007813 	 0.01021237041777567
115 -60.227691650390625 	 0.008361590467302449
#118 -64.470751953125 0.0018300986284884857 60.4271875 	 0.007198339843398571
#119 -51.789306640625 0.0017020583154589985
#119.5 -51.294140625 0.001176605225282401
120 -50.007110595703125 	 0.0006086191160648013
#120.5 -52.108544921875 0.0018898749349318678
121 -52.81996459960938 0.0015350085122918244
122 -51.05832214355469 0.0026226974923702073
125 -50.33475952148437 	 0.0006557893379977031

