119_0 0.047167401123046876 5.31973687376789e-06
112_0 0.056591754150390625 9.173365233503504e-06
118_0 0.05106325073242188 7.348311051390711e-06
119_5 0.047101947021484375 5.486672539673984e-06
115_0 0.05545123291015625 8.664873357861966e-06
110_0 0.05717486572265625 8.946488019078835e-06
105_0 0.05916759643554687 9.488348202370354e-06
120_5 0.046667922973632814 5.201278803637112e-06
100_0 0.06035389404296875 9.500979709476266e-06
120_0 0.04693798217773437 5.283394390307762e-06
125_0 0.046369284057617186 4.952171460082585e-06
121_0 0.046632403564453126 5.22393047776076e-06
122_0 0.046599481201171876 5.158998449109314e-06
